,code,name,cur_price,volume,high_price,low_price
550029,550029,QV 대체에너지 테마 ETN,10390,0,0,0
550030,550030,QV OLED 테마 ETN,9050,47,9100,9050
550031,550031,QV 항공우주 테마 ETN,9600,31,9600,9600
550032,550032,QV 방위산업 테마 ETN,8190,0,0,0
550033,550033,QV 스마트리밸런싱 260/4 ETN,-9735,0,0,0
550048,550048,QV K200 Call 1904-01 ETN,9275,0,0,0
550049,550049,QV K200 Call 1904-02 ETN,9280,0,0,0
550050,550050,QV K200 Put 1904-01 ETN,-12435,0,0,0
550046,550046,QV 레버리지 10년 국채선물 ETN,-22670,0,0,0
550047,550047,QV 인버스 레버리지 10년 국채선물 ETN,17955,0,0,0
550056,550056,QV 코스피 양매도 5% OTM ETN,9960,0,0,0
550057,550057,QV 코스피 변동성 매칭형 양매도 ETN,9685,0,0,0
550041,550041,QV 미국 IT TOP5 ETN(H),12545,31,12545,-12480
550044,550044,QV 레버리지 S&P500 ETN,11365,124,11365,11325
550045,550045,QV 인버스 레버리지 S&P500 ETN,-7720,35988,-7900,-7665
550052,550052,QV MSCI 선진국 ETN,8930,0,0,0
550053,550053,QV 인버스 MSCI 선진국 ETN,-10630,0,0,0
550054,550054,QV 레버리지 MSCI 선진국 ETN,8855,1,8855,8855
550055,550055,QV 인버스 레버리지 MSCI 선진국 ETN,-11150,0,0,0
550042,550042,QV 레버리지 WTI원유 선물 ETN(H),12175,5816,12215,12175
550043,550043,QV 인버스 레버리지 WTI원유 선물 ETN(H),-5020,22102,-5030,-5010
550051,550051,QV S&P500 VIX S/T 선물 ETN,-16365,3187,-17010,-16300
550018,550018,QV CHINEXT ETN(H),4850,0,0,0
570003,570003,TRUE 빅5 동일가중 ETN,10180,0,0,0
570008,570008,TRUE 섹터탑픽 ETN,9720,0,0,0
570009,570009,TRUE 코리아프리미어 ETN,9510,0,0,0
570015,570015,TRUE 다우존스 지속가능경영 코리아 ETN,11195,184008,11235,11180
570019,570019,TRUE 코스피 양매도 5% OTM ETN,10430,243891,10430,10420
570020,570020,TRUE 코스피 커버드콜 ETN B,9255,0,0,0
570021,570021,TRUE 코스피 커버드풋 ETN B,-11070,0,0,0
570024,570024,TRUE 코스피 타겟볼20 ETN,8360,0,0,0
570029,570029,TRUE 코스피 양매도 3% OTM ETN,9855,2115,9870,9855
570030,570030,TRUE 코스피 양매도 ATM ETN,10060,13635,10070,10055
570022,570022,TRUE 레버리지 S&P500 선물 ETN(H),11350,13122,11355,11310
