,code,name,cur_price,volume,high_price,low_price
185750,185750,종근당,-104500,16489,-106000,-104000
189400,189400,ARIRANG 글로벌MSCI(합성 H),-12550,444,-12640,-12550
190150,190150,ARIRANG 바벨 채권,114815,221,114835,114765
190160,190160,ARIRANG 단기유동성,109610,3034,109615,109605
190620,190620,KINDEX 단기통안채,100335,500,100335,100335
192090,192090,TIGER 차이나CSI300,-7390,553164,-7460,-7365
192400,192400,쿠쿠홀딩스,138500,4119,141000,-135000
192720,192720,파워 고배당저변동성,-29635,62,-29765,-29550
192820,192820,코스맥스,142000,301741,142000,131500
194370,194370,제이에스코퍼레이션,12800,50301,13050,-12450
195870,195870,해성디에스,-13900,70659,14100,-13450
195920,195920,TIGER 일본TOPIX(합성 H),-13055,36,-13055,-12985
195930,195930,TIGER 유로스탁스50(합성 H),-10545,223,-10570,-10505
195970,195970,ARIRANG 선진국MSCI(합성 H),-9795,714,9855,-9765
195980,195980,ARIRANG 신흥국MSCI(합성 H),-10315,2820,10400,-10280
196030,196030,KINDEX 일본TOPIX레버리지(H),-14160,3936,-14310,-13980
196220,196220,KBSTAR 일본TOPIX레버리지(H),-13605,100,-13605,-13275
196230,196230,KBSTAR 단기통안채,103715,33947,103720,103710
200020,200020,KODEX 미국S&P IT(합성),19800,812,19800,-19675
200030,200030,KODEX 미국S&P산업재(합성),14805,1048,14805,-14675
200040,200040,KODEX 미국S&P금융(합성),-15110,336,-15110,-15100
200250,200250,KOSEF 인도Nifty50(합성),-12050,2395,12210,-12005
200880,200880,서연이화,-5010,78043,5120,-4985
203780,203780,TIGER 미국나스닥바이오,14460,4754,14490,14415
204210,204210,모두투어리츠,3085,757,3115,-3055
204320,204320,만도,-31700,215059,32250,-31600
204420,204420,ARIRANG 차이나H 레버리지(합성 H),-6955,151,-7130,-6935
204450,204450,KODEX China H 레버리지(H),-7995,91819,-8240,-7970
204480,204480,TIGER 차이나CSI300레버리지(합성),-14190,235929,-14450,-14115
205720,205720,KINDEX 일본TOPIX인버스(합성 H),6270,3845,6320,6265
207940,207940,삼성바이오로직스,-380000,69393,-381000,-378000
208470,208470,SMART 선진국MSCI World(합성 H),-12495,2,-12495,-12495
210540,210540,디와이파워,-15200,72267,15600,-15000
210780,210780,TIGER 코스피고배당,-12415,1983,-12445,-12350
210980,210980,SK디앤디,-29750,24781,30500,-29450
211210,211210,마이티 코스피고배당,-12490,3,-12505,-12490
211260,211260,KINDEX 배당성장,-31345,24,-31470,-31345
211560,211560,TIGER 배당성장,-15430,232,-15510,-15380
211900,211900,KODEX 배당성장,-12360,2440,12420,-12310
213500,213500,한솔제지,-16800,98479,17050,-16750
213610,213610,KODEX 삼성그룹밸류,-7565,92,-7580,-7525
213630,213630,ARIRANG 미국다우존스고배당주(합성 H),-12645,69,-12650,-12645
214320,214320,이노션,71600,95017,72100,-70700
214330,214330,금호에이치티,-6560,53017,6670,-6450
214390,214390,경보제약,-10500,40290,10700,-10400
214420,214420,토니모리,13200,831304,13850,-12500
214980,214980,KODEX 단기채권PLUS,100270,4821,100275,-100265
215620,215620,흥국 S&P코리아로우볼,-10995,88,-11050,-10995
217770,217770,TIGER 원유선물인버스(H),-10435,1975,-10445,-10305
217780,217780,TIGER 차이나CSI300인버스(합성),13640,144973,13660,13445
217790,217790,TIGER 가격조정,23445,311,23505,-23265
218420,218420,KODEX 미국S&P에너지(합성),-8200,896,8270,-8200
219390,219390,KBSTAR 미국S&P원유생산기업(합성 H),5755,5273,5800,5725
219480,219480,KODEX 미국S&P500선물(H),-13090,4431,-13120,-13070
219900,219900,KINDEX 중국본토CSI300레버리지(합성),-2570,159757,-2610,-2540
220130,220130,SMART 중국본토 중소형 CSI500(합성 H),-3480,694,3505,-3480
222180,222180,ARIRANG 스마트베타 Value,-10145,13165,10220,-10100
222190,222190,ARIRANG 스마트베타 Momentum,-8790,57,8830,-8735
222200,222200,ARIRANG 스마트베타 Quality,9430,609,9475,-9360
223190,223190,KODEX 200가치저변동,-8555,15863,-8625,-8500
225030,225030,TIGER 미국S&P500선물인버스(H),7050,97342,7055,7010
225040,225040,TIGER 미국S&P500레버리지(합성 H),-15090,7140,-15295,-15010
225050,225050,TIGER 유로스탁스레버리지(합성 H),-7035,834,7180,-7000
225060,225060,TIGER 이머징마켓MSCI레버리지(합성 H),-10830,3647,-11040,-10830
225130,225130,KINDEX 골드선물 레버리지(합성 H),11535,31454,11535,11435
225800,225800,KOSEF 미국달러선물 레버리지(합성),8730,125109,8735,8700
226320,226320,잇츠한불,30050,725696,30750,27700
226380,226380,KINDEX 한류,6960,179,6970,6930
226490,226490,KODEX 코스피,-22380,1124168,-22610,-22350
226810,226810,파워 단기채,105290,0,0,0
226980,226980,KODEX 200 중소형,-10240,8064,10265,-10170
227540,227540,TIGER 200 헬스케어,20990,839,21035,-20875
227550,227550,TIGER 200 산업재,-5180,212,5225,-5180
227560,227560,TIGER 200 생활소비재,12105,147,12105,-12025
227570,227570,TIGER 우량가치,-12080,620,-12115,-12015
227830,227830,ARIRANG 코스피,-22690,108,22855,-22605
227840,227840,현대코퍼레이션홀딩스,-17600,54070,17800,-17250
228790,228790,TIGER 화장품,3800,169949,3800,3660
228800,228800,TIGER 여행레저,4670,388,4685,-4625
228810,228810,TIGER 미디어컨텐츠,6880,15453,6885,-6775
228820,228820,TIGER KTOP30,-6950,66102,-7005,-6950
229200,229200,KODEX 코스닥 150,-12445,3511278,12555,-12355
229640,229640,LS전선아시아,-6250,9199,6290,-6170
229720,229720,KODEX KTOP30,-14065,72,-14175,-14065
230480,230480,KOSEF 미국달러선물 인버스2X(합성),-9470,119666,-9515,-9470
232080,232080,TIGER 코스닥150,-12445,898823,12545,-12350
232590,232590,KINDEX 골드선물 인버스2X(합성 H),-6000,4784,6070,-5995
233160,233160,TIGER 코스닥150 레버리지,-13970,1111750,14195,-13760
233740,233740,KODEX 코스닥150 레버리지,-13280,13176871,13510,-13085
234080,234080,JW생명과학,22700,146215,23150,21900
234310,234310,KBSTAR V&S셀렉트밸류,11060,217,11100,-11015
236350,236350,TIGER 인도니프티50레버리지(합성),-13045,5791,13495,-12975
236460,236460,ARIRANG 스마트베타 LowVOL,-10180,66,10255,-10135
237350,237350,KODEX 코스피100,-22005,249,-22140,-21925
237370,237370,KODEX 배당성장채권혼합,10775,6960,10790,10750
237440,237440,TIGER 경기방어채권혼합,9600,2826,9610,-9580
238670,238670,ARIRANG 스마트베타Quality채권혼합,-10225,325,10265,-10195
238720,238720,KINDEX 일본Nikkei225(H),-13530,2138,-13570,-13400
239660,239660,ARIRANG 우량회사채50 1년,105005,56525,105035,-104965
241180,241180,TIGER 일본니케이225,-12540,283,12700,-12540
241390,241390,KBSTAR V&S셀렉트밸류채권혼합,-10445,453,10475,-10425
241560,241560,두산밥캣,-30750,478318,31150,-30500
241590,241590,화승엔터프라이즈,10400,215829,10500,-10100
243880,243880,TIGER 200IT레버리지,-23960,103618,-24765,-23700
243890,243890,TIGER 200에너지화학레버리지,-12005,6018,12180,-11950
244580,244580,KODEX 바이오,-11205,15091,-11300,-11150
244620,244620,KODEX 모멘텀Plus,-9850,1111,9875,-9775
244660,244660,KODEX 퀄리티Plus,10050,405,10050,-9975
244670,244670,KODEX 밸류Plus,-9410,317,-9435,-9340
245340,245340,TIGER 미국다우존스30,-14385,2009,14420,-14355
245350,245350,TIGER 유로스탁스배당30,-11550,650,-11585,-11460
245360,245360,TIGER 차이나HSCEI,-12740,13182,13000,-12690
245710,245710,KINDEX 베트남VN30(합성),13285,166778,13430,-13100
247780,247780,KODEX 가치투자,11005,98,11020,-10960
247790,247790,KODEX 성장투자,-9965,284,-9970,-9880
247800,247800,KODEX 턴어라운드투자,12280,1011,12295,-12225
248170,248170,샘표식품,-31150,11057,31700,-30950
248260,248260,TIGER 일본TOPIX헬스케어(합성),10065,493,10065,-9980
248270,248270,TIGER S&P글로벌헬스케어(합성),-11895,41435,12005,-11895
249420,249420,일동제약,19950,38633,20000,-19800
250730,250730,KBSTAR 차이나HSCEI(H),-12285,402,-12525,-12240
250780,250780,TIGER 코스닥150선물인버스,6940,340398,7000,-6890
251270,251270,넷마블,-119000,221949,-123000,-118500
251340,251340,KODEX 코스닥150선물인버스,6840,19080658,6900,-6790
251350,251350,KODEX 선진국MSCI World,-12505,1713,12550,-12460
251590,251590,ARIRANG 고배당저변동50,-10720,6948,-10800,-10665
251600,251600,ARIRANG 고배당주채권혼합,10745,3140,10770,-10730
251890,251890,KINDEX 코스닥(합성),-10770,5,-10770,-10720
252000,252000,TIGER 200동일가중,10285,4,10285,10285
252400,252400,KBSTAR 200선물레버리지,-12125,9139,-12335,-12015
252410,252410,KBSTAR 200선물인버스,8605,789,8640,8525
252420,252420,KBSTAR 200선물인버스2X,6995,98637,7045,6875
252650,252650,KODEX 200동일가중,-10265,13,-10290,-10240
252670,252670,KODEX 200선물인버스2X,6975,17565431,7025,6845
252710,252710,TIGER 200선물인버스2X,7085,2282487,7135,6955
252720,252720,KBSTAR 모멘텀밸류,-11480,390,-11525,-11420
252730,252730,KBSTAR 모멘텀로우볼,-11495,67,-11565,-11420
253150,253150,ARIRANG 200선물레버리지,-24125,3215,-24415,-23935
253160,253160,ARIRANG 200선물인버스2X,13970,26909,14090,13800
253230,253230,KOSEF 200선물인버스2X,7005,80211,7040,6875
253240,253240,KOSEF 200선물인버스,8625,285,8660,8565
253250,253250,KOSEF 200선물레버리지,-12135,3787,-12310,-12040
253280,253280,KBSTAR 헬스케어,-11600,9225,11665,-11540
253290,253290,KBSTAR 헬스케어채권혼합,10765,1216,10785,10755
253990,253990,TIGER 대만TAIEX선물(H),-11940,6,11990,-11940
256440,256440,KINDEX 인도네시아MSCI(합성),-9855,6482,9930,-9725
256450,256450,ARIRANG 심천차이넥스트(합성),5935,5,5935,5935
256750,256750,KODEX 심천ChiNext(합성),5985,12301,5985,-5910
260200,260200,KOSEF 배당바이백Plus,-15385,66,-15450,-15335
260270,260270,KOSEF 저PBR가중,-13745,58,-13860,-13730
261060,261060,TIGER 코스닥150IT,-11350,5194,-11565,-11250
261070,261070,TIGER 코스닥150바이오테크,12335,4676,12365,-12205
261110,261110,TIGER 미국달러선물레버리지,9015,1425,9025,9000
261120,261120,TIGER 미국달러선물인버스2X,-10750,166,-10770,-10745
261140,261140,TIGER 우선주,-9760,12115,9835,-9760
261220,261220,KODEX WTI원유선물(H),19335,18195,19420,19300
261240,261240,KODEX 미국달러선물,9725,11217,9725,9700
261250,261250,KODEX 미국달러선물레버리지,9030,132286,9035,8995
261260,261260,KODEX 미국달러선물인버스2X,-10755,34420,-10795,-10755
261270,261270,KODEX 미국달러선물인버스,-10525,6145,-10530,-10515
261920,261920,KINDEX 필리핀MSCI(합성),-15175,2486,15320,-15125
263190,263190,ARIRANG 단기우량채권,-51785,135606,51800,-51785
264900,264900,크라운제과,11000,22148,11050,-10850
26490K,26490K,크라운제과우,-8090,3214,8340,-8060
265690,265690,KINDEX 러시아MSCI(합성),-22695,2236,-22715,-22685
266140,266140,TIGER 지속배당,-14000,41,-14100,-14000
266160,266160,KBSTAR 고배당,-10390,256051,-10450,-10330
266360,266360,KODEX 미디어&엔터테인먼트,-10780,6650,10895,-10780
266370,266370,KODEX IT,-12150,1041,-12325,-12085
266390,266390,KODEX 경기소비재,-11300,27,-11300,-11200
266410,266410,KODEX 필수소비재,-9335,297,-9335,-9260
266420,266420,KODEX 헬스케어,-15805,4439,15850,-15700
266550,266550,ARIRANG 중형주저변동50,-9485,980,-9530,-9445
267250,267250,현대중공업지주,-345000,39384,351500,-344500
267260,267260,현대일렉트릭,31350,111543,31800,-30100
267270,267270,현대건설기계,-53300,123528,54500,-53100
267290,267290,경동도시가스,-37850,5500,38100,-37300
267300,267300,TIGER 코스닥150로우볼,-11935,1,-11935,-11935
267440,267440,KBSTAR 미국장기국채선물(H),10020,136,10025,10015
